I need a light computer so I can carry it around.	3	9	3	9	3
I need a computer that is easy to setup and come with a high quality monitor.	4	2	1	8	6
I need a few criteria for my new computer. First, I need a sturdy but light lid. Second, I need a good selection of ports. Third, I need the colours to look vivid on the screen. Fourth, I need the viewing angles to be decent. Fifth, I need the computer to have a decent battery life. Sixth, I need the computer to have a backlit keyboard which is quiet while typing. Seventh, I want the fan noise to be manageable. Last but not least, I want the bluetooth connection to be as fast as it can be.	3	7	2	8	4
As a college student, I don't have high expectations on a cheap computer. It just need to have nice build quality.	3	2	1	8	7
I work for a long time so the battery life should be long enough to support my work.	2	6	5	4	3
I need a well-built computer which is light and sleek so I can carry it around.	3	7	2	8	4
I am getting into gaming laptop so I want one that runs most games smoothly with good specs. The screen should have good viewing angles and the speakers should produce quality sound. I want the computer to run cool. Of course, it should look good with a reasonable price.	3	6	5	8	0
I want an economical and fast computer.	3	6	2	9	3
I am finding the best computer for my money.	2	9	0	2	2
I don't have much criteria for my new computer. I just want it to be reasonably priced.	3	7	3	8	0
I focus on the design and I want a good looking computer.	3	0	0	8	2
I want to have a laptop for out-of-town use and I want a budget-friendly computer that handle games with no issue.	3	6	5	8	0
I need a light computer that holds my 3D programmes well.	2	6	5	4	3
My wife wants to play more demanding games so she needs a computer that handles games well and quick. There should be tons of storage for her to store the games. The computer should also be thin and light. A great battery life is expected.	3	2	1	8	7
My old computer needs replacement and I need the new one to be lightweight, quick and economical.	2	6	5	4	3
I need a new work station that is fast, light and good looking. The screen should be huge though.	3	7	4	3	1
I am waiting for my husband to buy me a lightweight computer that has the perfect size.	3	6	2	9	3
I don't enjoy waiting so I need the computer to startup fast.	3	7	3	8	3
I am finding a new laptop for gaming and a short boot up time is expected.	4	8	3	8	0
I want to have a new computer that is easy to setup and produce good sound.	3	9	0	7	2
I do a lot of typing at night so it would be good if the keys are highly visible at night. Moreover, the keyboard should be comfortable and responsive. I also want an amazing display to handle games well.	4	7	3	8	0
I want a fast and responsive computer.	3	7	2	8	0
I am becoming a coder and I need a new computer that is sleek and has large storage space.	2	7	3	8	3
I am finding a replacement for my old computer and the new one should be light, solid and has a long battery life.	2	6	3	8	3
I want the computer to come with a high performance-cost ratio.	3	7	3	3	0
I will be using the laptop for work so it should be sleek, lightweight and easy to setup.	3	9	0	7	2
I am finding a new computer that have good specs but low price.	4	2	2	8	6
My old computer needs replacement and I need a new one with a good screen size and tight and responsive keys.	4	6	4	8	3
I need a solid hard drive to run everything smoothly.	3	5	2	3	3
